country,iso,year,upop,upop%,rpop,rpop%,total_pop,upopw,urban_water_imp_per,rpopw,rural_water_imp_per,tpopw,total_water_imp_per,upopnw%,rpopnw%,tpopnw%,region
Kenya,KEN,2005,7756.5,21.7,28029.2,78.3,35785.7,6622.6,85.4,13422.2,47.9,20044.8,56,14.6,52.1,44,Sub-Saharan Africa
Kenya,KEN,2010,9642.7,23.6,31266.5,76.4,40909.2,8033,83.3,16527.6,52.9,24560.5,60,16.7,47.1,40,Sub-Saharan Africa
Kiribati,KIR,2005,39.4,43.6,51.1,56.4,90.5,32.8,83.3,23.5,46,56.3,62.2,16.7,54,37.8,Oceania
Kiribati,KIR,2000,35.6,43,47.2,57,82.8,28.6,80.3,20.2,42.7,48.7,58.9,19.7,57.3,41.1,Oceania
Kiribati,KIR,2010,42.8,43.8,55,56.2,97.7,36.9,86.2,27.1,49.3,64,65.4,13.8,50.7,34.6,Oceania
Kiribati,KIR,2015,46.8,44.3,58.8,55.7,105.6,40.8,87.3,29.7,50.6,70.6,66.9,12.7,49.4,33.1,Oceania
Kiribati,KIR,1990,24.9,35,46.2,65,71,18.5,74.5,16.7,36.1,35.2,49.6,25.5,63.9,50.4,Oceania
Kiribati,KIR,1995,27.8,36.4,48.6,63.6,76.4,21.5,77.4,19.1,39.4,40.7,53.3,22.6,60.6,46.7,Oceania
Kuwait,KWT,1990,2018,98,41.7,2,2059.8,1997.9,99,41.3,99,2039.2,99,1,1,1,Western Asia
Kuwait,KWT,1995,1555.1,98,31,2,1586.1,1539.5,99,30.7,99,1570.3,99,1,1,1,Western Asia
Kuwait,KWT,2010,2939.6,98.3,52,1.7,2991.6,2910.2,99,51.4,99,2961.7,99,1,1,1,Western Asia
Kuwait,KWT,2015,3524,98.3,59.4,1.7,3583.4,3488.7,99,58.8,99,3547.6,99,1,1,1,Western Asia
Kuwait,KWT,2000,1870.3,98.1,36,1.9,1906.2,1851.6,99,35.6,99,1887.2,99,1,1,1,Western Asia
Kuwait,KWT,2005,2254.7,98.2,41.6,1.8,2296.3,2232.1,99,41.2,99,2273.4,99,1,1,1,Western Asia
Kyrgyzstan,KGZ,1995,1669.2,36.3,2922.9,63.7,4592.1,1602,96,1840.4,63,3442.4,75,4,37,25,Caucasus and Central Asia
Kyrgyzstan,KGZ,2000,1749,35.3,3205.9,64.7,4954.9,1681.8,96.2,2204.9,68.8,3886.7,78.4,3.8,31.2,21.6,Caucasus and Central Asia
Kyrgyzstan,KGZ,2005,1779.5,35.3,3262.9,64.7,5042.4,1714.4,96.3,2433.8,74.6,4148.2,82.3,3.7,25.4,17.7,Caucasus and Central Asia
Kyrgyzstan,KGZ,1990,1660.1,37.8,2734.4,62.2,4394.5,1592.7,95.9,1689.8,61.8,3282.5,74.7,4.1,38.2,25.3,Caucasus and Central Asia
Kyrgyzstan,KGZ,2015,2038,35.7,3669.5,64.3,5707.5,1970.9,96.7,3163.8,86.2,5134.8,90,3.3,13.8,10,Caucasus and Central Asia
Kyrgyzstan,KGZ,2010,1883.1,35.3,3451.1,64.7,5334.2,1817.7,96.5,2774.9,80.4,4592.6,86.1,3.5,19.6,13.9,Caucasus and Central Asia
Lao People's Democratic Republic,LAO,1995,846.6,17.4,4024.9,82.6,4871.5,595,70.3,1346.3,33.5,1941.3,39.9,29.7,66.5,60.1,South-eastern Asia
Lao People's Democratic Republic,LAO,2000,1184.2,22,4204.1,78,5388.3,855,72.2,1595.1,37.9,2450.1,45.5,27.8,62.1,54.5,South-eastern Asia
Lao People's Democratic Republic,LAO,1990,655.2,15.4,3589.3,84.6,4244.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,South-eastern Asia
Lao People's Democratic Republic,LAO,2015,2711.6,38.6,4308.1,61.4,7019.7,2322.3,85.6,2988.8,69.4,5311.1,75.7,14.4,30.6,24.3,South-eastern Asia
Lao People's Democratic Republic,LAO,2005,1585.8,27.4,4204.8,72.6,5790.6,1221.1,77,2067.4,49.2,3288.5,56.8,23,50.8,43.2,South-eastern Asia
Lao People's Democratic Republic,LAO,2010,2118.3,33.1,4277.4,66.9,6395.7,1732.9,81.8,2583.3,60.4,4316.2,67.5,18.2,39.6,32.5,South-eastern Asia
Latvia,LVA,1990,1844.8,69.2,819.2,30.8,2664,1837.4,99.6,781.7,95.4,2619.1,98.3,0.4,4.6,1.7,Developed Regions
Latvia,LVA,2000,1614.2,68.1,757.3,31.9,2371.5,1607.7,99.6,722.6,95.4,2330.3,98.3,0.4,4.6,1.7,Developed Regions
Latvia,LVA,2005,1514.7,68,712.8,32,2227.6,1509.6,99.7,686,96.2,2195.7,98.6,0.3,3.8,1.4,Developed Regions
Latvia,LVA,2010,1415.1,67.7,675.4,32.3,2090.5,1411.5,99.7,657,97.3,2068.5,98.9,0.3,2.7,1.1,Developed Regions
Latvia,LVA,1995,1710.5,68.8,777.5,31.2,2488,1703.6,99.6,741.9,95.4,2445.5,98.3,0.4,4.6,1.7,Developed Regions
Latvia,LVA,2015,1368.8,67.4,662.6,32.6,2031.4,1366.4,99.8,651.3,98.3,2017.7,99.3,0.2,1.7,0.7,Developed Regions
Lebanon,LBN,1995,2572.9,84.8,460.5,15.2,3033.4,2143.1,83.3,383.6,83.3,2526.7,83.3,16.7,16.7,16.7,Western Asia
Lebanon,LBN,2000,2782.4,86,453,14,3235.4,2384.6,85.7,388.2,85.7,2772.8,85.7,14.3,14.3,14.3,Western Asia
Lebanon,LBN,2005,3452,86.6,534.9,13.4,3986.9,3166.3,91.7,490.6,91.7,3657,91.7,8.3,8.3,8.3,Western Asia
Lebanon,LBN,2015,4436.7,87.8,617,12.2,5053.6,4390.1,99,610.5,99,5000.6,99,1,1,1,Western Asia
Lebanon,LBN,2010,3784.7,87.2,556.4,12.8,4341.1,3699.4,97.7,543.9,97.7,4243.3,97.7,2.3,2.3,2.3,Western Asia
Lebanon,LBN,1990,2246.8,83.1,456.3,16.9,2703,NA,NA,NA,NA,NA,NA,NA,NA,NA,Western Asia
Lesotho,LSO,1990,223.1,14,1374.4,86,1597.5,206.6,92.6,1029.7,74.9,1236.3,77.4,7.4,25.1,22.6,Sub-Saharan Africa
Lesotho,LSO,1995,297.4,17,1456.5,83,1753.8,275.6,92.7,1092.6,75,1368.2,78,7.3,25,22,Sub-Saharan Africa
Lesotho,LSO,2000,362.9,19.5,1493.4,80.5,1856.2,338,93.2,1127.6,75.5,1465.6,79,6.8,24.5,21,Sub-Saharan Africa
Lesotho,LSO,2005,428.5,22.2,1497.4,77.8,1925.8,401.1,93.6,1137.9,76,1539,79.9,6.4,24,20.1,Sub-Saharan Africa
Lesotho,LSO,2010,497.3,24.8,1511.7,75.2,2008.9,467.9,94.1,1156.1,76.5,1623.9,80.8,5.9,23.5,19.2,Sub-Saharan Africa
Lesotho,LSO,2015,579,27.3,1541.1,72.7,2120.1,547.5,94.6,1186.1,77,1733.6,81.8,5.4,23,18.2,Sub-Saharan Africa
Liberia,LBR,2000,1282,44.3,1609.9,55.7,2892,977.5,76.2,828.2,51.4,1805.7,62.4,23.8,48.6,37.6,Sub-Saharan Africa
Liberia,LBR,2005,1505.8,46.1,1764,53.9,3269.8,1210.3,80.4,973.2,55.2,2183.4,66.8,19.6,44.8,33.2,Sub-Saharan Africa
Liberia,LBR,2010,1891.9,47.8,2066,52.2,3958,1598.9,84.5,1216.7,58.9,2815.6,71.1,15.5,41.1,28.9,Sub-Saharan Africa
Liberia,LBR,2015,2238.2,49.7,2265.2,50.3,4503.4,1984.1,88.6,1418.2,62.6,3402.4,75.6,11.4,37.4,24.4,Sub-Saharan Africa
Liberia,LBR,1990,1165.5,55.4,937.4,44.6,2102.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sub-Saharan Africa
Liberia,LBR,1995,955.9,46,1124,54,2079.9,713,74.6,561.5,50,1274.5,61.3,25.4,50,38.7,Sub-Saharan Africa
Libyan Arab Jamahiriya,LBY,2000,3951.8,76.3,1224.4,23.7,5176.2,2849.3,72.1,836.9,68.4,3686.1,71.2,27.9,31.6,28.8,Northern Africa
Libyan Arab Jamahiriya,LBY,2005,4302.1,76.9,1292.3,23.1,5594.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northern Africa
Libyan Arab Jamahiriya,LBY,1990,3225.7,75.7,1034.1,24.3,4259.8,2325.7,72.1,706.8,68.4,3032.5,71.2,27.9,31.6,28.8,Northern Africa
Libyan Arab Jamahiriya,LBY,1995,3607.9,76,1139.7,24,4747.6,2601.3,72.1,779,68.4,3380.3,71.2,27.9,31.6,28.8,Northern Africa
Libyan Arab Jamahiriya,LBY,2015,4962.3,78.6,1354.8,21.4,6317.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northern Africa
Libyan Arab Jamahiriya,LBY,2010,4690.1,77.6,1350.6,22.4,6040.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northern Africa
Liechtenstein,LIE,2015,5.3,14.3,32.1,85.7,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Developed Regions
Liechtenstein,LIE,1995,5.1,16.5,25.8,83.5,30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Developed Regions
Liechtenstein,LIE,2010,5.2,14.4,30.8,85.6,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,Developed Regions
Liechtenstein,LIE,1990,4.9,16.9,24.1,83.1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,Developed Regions
Liechtenstein,LIE,2000,5,15.1,27.9,84.9,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Developed Regions
Liechtenstein,LIE,2005,5.1,14.7,29.6,85.3,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Developed Regions
Lithuania,LTU,1990,2498.8,67.6,1198.6,32.4,3697.4,2356.1,94.3,866.7,72.3,3222.8,87.2,5.7,27.7,12.8,Developed Regions
Lithuania,LTU,2005,2190.2,66.6,1096.6,33.4,3286.8,2138.7,97.7,916.8,83.6,3055.6,93,2.3,16.4,7,Developed Regions
Lithuania,LTU,2010,2048.4,66.8,1020.1,33.2,3068.5,2023.3,98.8,891.2,87.4,2914.5,95,1.2,12.6,5,Developed Regions
